,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
182,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
183,Barrow,0,US,1667251195,84,71.2906,-156.7887,252.16,6.69
184,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
185,Cabo Rojo,45,PR,1667251248,86,18.0866,-67.1457,301.89,3.73
186,Cabo Rojo,45,PR,1667251248,86,18.0866,-67.1457,301.89,3.73
187,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
188,Barrow,0,US,1667251195,84,71.2906,-156.7887,252.16,6.69
189,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
190,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
191,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
192,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
193,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
194,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
195,Barrow,0,US,1667251195,84,71.2906,-156.7887,252.16,6.69
196,Barrow,0,US,1667251195,84,71.2906,-156.7887,252.16,6.69
197,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
198,Cabo Rojo,45,PR,1667251248,86,18.0866,-67.1457,301.89,3.73
199,Cabo Rojo,45,PR,1667251248,86,18.0866,-67.1457,301.89,3.73
200,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
201,Cabo Rojo,45,PR,1667251248,86,18.0866,-67.1457,301.89,3.73
202,Cabo Rojo,45,PR,1667251250,86,18.0866,-67.1457,301.89,3.73
203,Cabo Rojo,45,PR,1667251248,86,18.0866,-67.1457,301.89,3.73
204,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
205,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
206,Cabo Rojo,45,PR,1667251248,86,18.0866,-67.1457,301.89,3.73
207,Barrow,0,US,1667251194,84,71.2906,-156.7887,252.16,6.69
208,Cabo Rojo,45,PR,1667251248,86,18.0866,-67.1457,301.89,3.73
209,Cabo Rojo,45,PR,1667251248,86,18.0866,-67.1457,301.89,3.73
210,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
211,Cabo Rojo,45,PR,1667251248,86,18.0866,-67.1457,301.89,3.73
212,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
213,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
214,Cabo Rojo,45,PR,1667251248,86,18.0866,-67.1457,301.89,3.73
215,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
216,Barrow,0,US,1667251195,84,71.2906,-156.7887,252.16,6.69
217,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
218,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
219,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
220,Barrow,0,US,1667251194,84,71.2906,-156.7887,252.16,6.69
221,Cabo Rojo,45,PR,1667251249,86,18.0866,-67.1457,301.89,3.73
222,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
223,Barrow,0,US,1667251193,84,71.2906,-156.7887,252.16,6.69
224,Barrow,0,US,1667251194,84,71.2906,-156.7887,252.16,6.69
